,id,league_name,season,HomeGoals,AwayGoals
322,2431,England Premier League,2009/2010,2,0
323,2432,England Premier League,2009/2010,2,1
324,2433,England Premier League,2009/2010,1,1
325,2434,England Premier League,2009/2010,0,0
326,2435,England Premier League,2009/2010,2,3
327,2436,England Premier League,2009/2010,0,1
328,2437,England Premier League,2009/2010,1,0
329,2438,England Premier League,2009/2010,3,0
330,2439,England Premier League,2009/2010,4,0
331,2440,England Premier League,2009/2010,4,1
332,2441,England Premier League,2009/2010,1,3
333,2442,England Premier League,2009/2010,4,2
334,2443,England Premier League,2009/2010,3,1
335,2444,England Premier League,2009/2010,2,1
336,2445,England Premier League,2009/2010,0,1
337,2446,England Premier League,2009/2010,2,3
338,2447,England Premier League,2009/2010,1,2
339,2448,England Premier League,2009/2010,1,0
340,2449,England Premier League,2009/2010,4,3
341,2450,England Premier League,2009/2010,4,0
342,2451,England Premier League,2009/2010,2,3
343,2452,England Premier League,2009/2010,2,0
344,2453,England Premier League,2009/2010,3,0
345,2454,England Premier League,2009/2010,2,1
346,2455,England Premier League,2009/2010,1,1
347,2456,England Premier League,2009/2010,0,1
348,2457,England Premier League,2009/2010,3,1
349,2458,England Premier League,2009/2010,3,0
350,2459,England Premier League,2009/2010,6,1
351,2460,England Premier League,2009/2010,5,0
352,2461,England Premier League,2009/2010,3,1
353,2462,England Premier League,2009/2010,5,2
354,2463,England Premier League,2009/2010,0,2
355,2464,England Premier League,2009/2010,0,1
356,2465,England Premier League,2009/2010,3,1
357,2466,England Premier League,2009/2010,0,1
358,2467,England Premier League,2009/2010,2,1
359,2468,England Premier League,2009/2010,1,2
360,2469,England Premier League,2009/2010,2,2
361,2470,England Premier League,2009/2010,0,1
362,2471,England Premier League,2009/2010,2,2
363,2472,England Premier League,2009/2010,1,1
364,2473,England Premier League,2009/2010,2,0
365,2474,England Premier League,2009/2010,2,1
366,2475,England Premier League,2009/2010,2,2
367,2476,England Premier League,2009/2010,2,1
368,2477,England Premier League,2009/2010,1,1
369,2478,England Premier League,2009/2010,6,2
370,2479,England Premier League,2009/2010,2,1
371,2480,England Premier League,2009/2010,2,1
372,2481,England Premier League,2009/2010,2,0
373,2482,England Premier League,2009/2010,1,1
374,2483,England Premier League,2009/2010,3,2
375,2484,England Premier League,2009/2010,2,1
376,2485,England Premier League,2009/2010,1,0
377,2486,England Premier League,2009/2010,1,1
378,2487,England Premier League,2009/2010,1,2
379,2488,England Premier League,2009/2010,3,1
